stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2594046,IN0050,"Avenida General David Sarnoff, 5020",,-19.9594777,-44.01841893,,,0,,,0,
2594047,IN0051,"Avenida General David Sarnoff, s/n (L. O. ArcelorMittal)",,-19.95777032,-44.01751909,,,0,,,0,
2594048,IN0052,"Avenida General David Sarnoff, 6985 (Belgo II)",,-19.95136219,-44.01935265,,,0,,,0,
2594049,IN0053,"Avenida General David Sarnoff, 6986 (GE)",,-19.95134146,-44.01908591,,,0,,,0,
2594050,IN0054,"Avenida General David Sarnoff, s/n",,-19.95396042,-44.01774234,,,0,,,0,
2594051,,"Avenida Gávea, 92",,-19.97596776,-44.06492188,,,0,,,0,
2594052,RE0026,"Avenida Geraldo Rocha, s/n (CD Supermercados BH)",,-19.86594134,-44.03371058,,,0,,,0,
2594053,RE0027,"Avenida Geraldo Rocha, 1300",,-19.86576182,-44.03417184,,,0,,,0,
2594054,RE0028,"Avenida Geraldo Rocha, 200",,-19.87347729,-44.02723587,,,0,,,0,
2594055,RE0029,"Avenida Geraldo Rocha, s/n (CD Supermecados BH)",,-19.87205245,-44.03097171,,,0,,,0,
2594056,RE0030,"Avenida Geraldo Rocha, s/n (L. O. CD Supermercados BH)",,-19.87225595,-44.03095171,,,0,,,0,
2594057,RE0031,"Avenida Geraldo Rocha, 800 (AETHRA)",,-19.8706528,-44.03193393,,,0,,,0,
2594058,EL0018,"Avenida Helena de Vasconcelos Costa, 204",,-19.91474816,-44.05361788,,,0,,,0,
2594061,EL0019,"Avenida Helena de Vasconcelos Costa, 6768",,-19.90746596,-44.04885641,,,0,,,0,
2594062,EL0270,"Avenida Helena de Vasconcelos Costa, 711",,-19.91267336,-44.05187307,,,0,,,0,
2594063,IN0055,"Avenida Ipiranga, 227",,-19.96703311,-44.04993288,,,0,,,0,
2594065,IN0056,"Avenida Ipiranga, 202",,-19.96574894,-44.05181312,,,0,,,0,
2594066,IN0057,"Avenida Ipiranga, 85",,-19.9673102,-44.04970849,,,0,,,0,
2594067,PE0017,"Avenida Irmã Benigna Vitina de Jesus, 625",,-19.92145197,-44.11031049,,,0,,,0,
2594068,PE0018,"Avenida Irmã Benigna Vitina de Jesus, 613",,-19.92122672,-44.11053597,,,0,,,0,
2594069,VA0255,"Avenida Jequitibá, 120",,-19.81277504,-44.14436504,,,0,,,0,
2594070,EL0021,"Avenida João César de Oliveira, 1520 (Itaú)",,-19.94150062,-44.04231976,,,0,,,0,
2594071,EL0022,"Avenida João César de Oliveira, 168",,-19.94608953,-44.03128393,,,0,,,0,
2594072,EL0023,"Avenida João César de Oliveira, 2767 (Bradesco)",,-19.93984511,-44.0449199,,,0,,,0,
